Angle (degrees),Time to heal 95% (seconds)
0,1116000.0
5,1206000.0
10,1335000.0
15,1476000.0
20,1641000.0
25,1821000.0
30,2034000.0
35,2271000.0
40,2553000.0
45,2838000.0
50,2853000.0
55,2844000.0
60,2835000.0
65,2805000.0
70,2790000.0
75,2787000.0
80,2802000.0
85,2787000.0
90,2727000.0
95,2784000.0
100,2799000.0
105,2784000.0
110,2787000.0
115,2799000.0
120,2826000.0
125,2826000.0
130,2829000.0
135,2793000.0
140,2523000.0
145,2241000.0
150,2001000.0
155,1791000.0
160,1614000.0
165,1452000.0
170,1314000.0
175,1191000.0
180,1116000.0
